,city,state_name,population,population_proper,density,military,incorporated,cdp,township,ranking,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,age_over_65,age_18_to_24,age_over_18,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,housing_units,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran,cbsa_metro,city_state,Is_NBA,Players_origin
0,New York,New York,18908608.0,8622467.0,11080.3,0,1,0,0,1,37.5,11.4,11.2,14.7,15.9,12.7,12.6,10.7,6.7,3.9,15.5,8.4,79.4,48.1,51.9,39.8,10.9,44.0,5.3,3.33,53.1,76607.0,4.4,2.6,5.6,3.7,3.8,6.7,9.0,13.5,10.8,15.3,24.6,39.9,39551.0,32.9,3282804.0,730421.0,1714.0,34.0,16.7,23.3,19.8,23.2,17.0,40.2,43.9,63.2,7.6,37.5,23.1,14.5,0.6,0.1,15.4,8.9,29.0,11.3,17.2,13.9,41.1,6.7,2.0,1,New York-New York,1,103.0
1,Los Angeles,California,11922389.0,3881041.0,3184.7,0,1,0,0,1,36.5,10.6,11.7,16.2,16.8,13.4,12.4,9.9,5.6,3.4,13.4,9.9,80.3,50.0,50.0,38.7,10.4,46.4,4.5,3.49,57.5,76244.0,3.9,2.3,4.8,3.3,3.7,7.2,9.7,14.5,11.6,15.9,23.1,39.0,34704.0,36.6,1399442.0,821581.0,1791.0,37.1,21.3,18.7,23.2,23.9,12.8,36.7,42.8,66.5,7.7,41.2,8.6,11.8,1.0,0.1,24.5,12.7,48.1,10.8,16.6,13.7,31.3,10.6,2.3,1,Los Angeles-California,1,113.0
2,Chicago,Illinois,8497759.0,2721914.0,4614.5,0,1,0,0,1,35.3,10.9,11.4,17.6,17.2,12.6,11.6,9.8,5.8,3.2,13.3,9.8,80.0,48.8,51.2,35.6,10.5,48.9,5.0,3.3,53.9,71673.0,4.9,2.4,5.1,3.6,4.2,7.6,9.8,14.1,11.7,15.4,21.2,36.6,40068.0,45.6,1129908.0,308874.0,1314.0,31.5,13.4,21.7,22.5,24.4,18.0,42.4,43.3,67.3,8.2,42.4,28.8,7.0,0.7,0.1,11.3,9.7,29.0,11.4,16.9,7.9,34.1,9.8,2.9,1,Chicago-Illinois,1,155.0
3,Miami,Florida,6080145.0,443665.0,4758.9,0,1,0,0,1,39.7,9.8,8.4,14.0,18.1,13.7,13.7,10.4,6.9,5.0,16.3,7.4,83.5,50.8,49.2,36.5,16.8,40.7,6.0,3.12,51.9,54858.0,4.3,3.1,8.3,5.2,5.4,9.3,11.0,16.0,10.4,11.9,15.1,27.0,28772.0,30.1,186137.0,433122.0,1494.0,39.5,21.2,24.9,19.6,20.6,13.6,34.2,44.9,65.8,5.0,45.4,14.1,1.5,0.3,0.0,6.4,32.3,72.3,11.6,20.0,29.9,28.2,19.0,2.0,1,Miami-Florida,1,15.0
4,Houston,Texas,5970127.0,2296253.0,1384.0,0,1,0,0,1,33.9,13.4,13.1,16.5,16.4,12.9,11.0,9.1,5.0,2.7,11.6,10.2,76.1,49.7,50.3,40.6,12.8,42.1,4.5,3.29,50.4,60440.0,4.4,2.4,4.4,3.9,4.6,9.7,12.7,17.4,11.2,12.9,16.6,29.5,34102.0,42.0,897510.0,238773.0,1235.0,31.6,20.4,21.8,22.7,20.9,14.2,35.1,50.3,66.9,6.6,40.8,22.4,6.9,0.7,0.1,14.3,14.9,44.8,10.4,19.6,13.5,27.4,24.2,3.6,1,Houston-Texas,1,43.0
5,Dallas,Texas,5830932.0,1300642.0,1478.7,0,1,0,0,1,33.1,13.6,13.2,17.4,16.0,12.6,11.0,9.0,4.8,2.4,11.0,10.0,75.6,49.9,50.1,40.1,12.8,42.8,4.3,3.38,53.5,63985.0,4.3,2.1,4.2,3.1,4.4,8.6,12.5,18.3,11.8,13.1,17.4,30.5,37395.0,41.9,521147.0,276687.0,1305.0,30.3,19.8,21.7,21.9,22.5,14.1,36.6,41.7,68.6,5.0,48.1,23.6,3.7,0.6,0.0,10.9,13.1,42.4,10.9,17.5,9.3,26.4,23.5,3.8,1,Dallas-Texas,1,47.0
6,Philadelphia,Pennsylvania,5683533.0,1593208.0,4578.4,0,1,0,0,1,34.8,12.0,12.5,16.4,16.6,11.3,11.3,10.6,6.1,3.3,14.0,10.1,78.5,47.5,52.5,31.7,12.1,50.7,5.6,3.18,47.5,57537.0,5.5,3.6,6.6,4.9,4.5,8.7,11.3,15.7,11.6,13.6,14.0,27.6,32808.0,52.2,659129.0,212932.0,1250.0,34.3,13.1,30.3,23.0,18.8,14.8,33.6,45.5,62.8,8.6,37.1,40.1,7.6,0.3,0.1,8.5,6.3,15.7,16.9,22.7,6.9,32.8,7.3,4.2,1,Philadelphia-Pennsylvania,1,122.0
7,Atlanta,Georgia,5180179.0,494838.0,1412.3,0,1,0,0,1,33.6,10.4,10.5,21.5,18.0,12.2,10.5,8.9,5.1,2.8,12.0,13.4,82.8,49.4,50.6,28.9,12.0,55.0,4.1,3.02,51.2,77655.0,5.1,2.7,5.4,3.8,3.6,6.6,8.3,13.2,12.1,14.4,24.8,39.2,45956.0,45.7,227388.0,392158.0,1512.0,35.6,7.1,17.0,18.6,32.2,25.0,57.2,44.9,67.3,5.8,40.8,47.6,4.9,0.3,0.0,1.8,4.7,5.4,11.8,17.7,2.0,27.5,10.8,4.3,1,Atlanta-Georgia,1,48.0
8,Washington,District of Columbia,5116378.0,670587.0,4235.7,0,1,0,0,1,34.8,11.4,9.6,17.9,20.7,12.6,10.4,9.0,5.5,3.0,12.6,9.2,81.5,47.8,52.2,31.3,10.0,55.2,3.5,3.04,57.4,101722.0,4.8,2.6,3.7,2.5,2.2,4.4,6.9,11.4,10.8,15.7,34.9,50.6,65786.0,41.4,315785.0,705005.0,1817.0,30.9,7.3,15.0,15.0,25.8,36.9,62.7,53.4,72.0,7.1,39.6,44.3,4.0,0.3,0.1,4.6,7.1,11.5,11.0,15.1,3.1,30.5,3.4,4.0,1,Washington-District of Columbia,1,76.0
9,Boston,Massachusetts,4328315.0,665945.0,5319.0,0,1,0,0,1,32.9,8.7,11.4,22.9,18.5,10.6,10.8,9.0,5.3,3.0,12.3,14.5,84.3,48.2,51.8,31.3,9.6,55.4,3.7,3.05,59.9,89212.0,5.1,2.8,5.8,3.4,3.3,5.4,7.0,11.2,10.3,15.4,30.2,45.6,45132.0,34.8,276053.0,684963.0,1981.0,37.4,11.6,18.1,16.9,28.3,25.1,53.4,50.9,69.7,6.6,48.6,22.5,9.7,0.3,0.1,6.8,12.0,19.6,12.0,17.5,11.2,30.6,3.3,2.4,1,Boston-Massachusetts,1,15.0
10,Phoenix,Arizona,4064275.0,1609456.0,1198.9,0,1,0,0,1,34.4,13.1,14.3,15.5,15.1,13.3,12.0,9.0,5.2,2.4,11.5,10.1,75.5,50.4,49.6,42.1,13.9,39.9,4.1,3.33,55.6,72092.0,3.0,1.6,3.2,3.1,3.3,7.7,12.1,17.8,13.8,16.9,17.7,34.6,38017.0,56.4,591169.0,338432.0,1322.0,30.5,16.1,23.2,29.6,19.3,11.8,31.1,43.3,68.1,5.2,59.4,7.4,3.7,2.1,0.2,10.3,16.9,42.9,11.2,14.6,5.2,25.7,14.8,5.5,1,Phoenix-Arizona,1,9.0
