City,Team Name,Arena Sponsor,Year of Arena Construction,Arena Capacity,Jersey Sponsor,Revenue (millions),Operating Income (millions),Player Expenses (millions),TicketRevenue
Atlanta,Atlanta Hawks,State Farm,1999,16600,YMCA,326,85,159,45.3
Boston,Boston Celtics,TD Bank,1995,19156,Vistaprint,443,88,185,72.5
Brooklyn,Brooklyn Nets,Barclays Bank,2012,17732,Webull,367,-5,187,55.1
Charlotte,Charlotte Hornets,Spectrum,2005,19077,Feastables,269,35,165,23.7
Chicago,Chicago Bulls,United Airlines,1994,20917,Motorola,372,115,158,70
Cleveland,Cleveland Cavaliers,Rocket Mortgage,1994,19432,Clevland-Cliffs Inc.,348,78,158,67.4
Dallas,Dallas Mavericks,American Airlines,2001,19200,Chime,429,83,177,57.4
Denver,Denver Nuggets,Ball Corp,1999,19520,Ibotta,348,71,171,41.6
Detroit,Detroit Pistons,Little Caesers,2017,20332,United Wholesale Mortgage,274,83,132,35.8
San Franciso,Golden State Warriors,JPMorgan Chase,2019,18064,Rakuten,765,79,197,100.4
Houston,Houston Rockets,Toyota,2003,18055,Credit Karma,381,125,145,66.6
Indianapolis ,Indiana Pacers,Gainbridge,1999,17923,Spokenote,263,68,127,34.5
Los Angeles,Los Angeles Clippers,Crypto.com,1999,19068,N/A,425,-12,198,63.9
Los Angeles,Los Angeles Lakers,Crypto.com,1999,18997,Bibigo,516,159,177,116.8
Memphis,Memphis Grizzlies,FedEx,2004,17794,N/A,258,51,132,21.3
Miami,Miami Heat,Kaseya,1999,19600,Carnival Cruise Line,371,108,161,75.7
Milwaukee,Milwaukee Bucks,Fiserv,2018,17500,Motorola,329,-36,188,46.9
Minnesota,Minnesota Timberwolves,Target,1990,18978,Aura,259,47,155,29.5
New Orleans,New Orleans Pelicans,Smoothie King,1999,16867,Ibotta,262,57,154,27.6
New York,New York Knicks,JPMorgan Chase,1968,19812,Sphere,504,169,156,109.1
Oklahoma City,Oklahoma City Thunder,Paycom,2002,18203,Love's Travel Stops & Country Stores,267,49,154,52.2
Orlando,Orlando Magic,Kia America,2010,18846,Walt Disney World,261,66,132,36
Philadelphia,Philadelphia 76ers,Wells Fargo,1996,20478,Crypto.com,371,120,161,58.7
Phoenix,Phoenix Suns,Footprint,1992,17071,PayPal,366,15,179,37
Portland,Portland Trail Blazers,Moda Health,1995,19441,N/A,300,65,156,52.8
Sacramento,Sacramento Kings,Golden 1 Credit Union,2016,17583,Dialpad,289,36,145,56.1
San Antonio,San Antonio Spurs,Frost Bank,2002,18418,Self Financial,319,113,110,56.3
Toronto,Toronto Raptors,Scotiabank,1999,19800,Sun Life Financial,305,75,156,63.4
Salt Lake City,Utah Jazz,Delta Airlines,1991,18306,LiveView Technologies,274,46,154,42
Washington DC,Washington Wizards,Captial One,1997,20356,Robinhood,323,85,159,60.9
